player_id,player,team,pos,AGE,GP,MP,FTr,USG_PCT,TS_PCT,OBPM,DBPM,BPM,VORP,name_key,player_id_contract,team_contract,salary,years_remaining,total_guaranteed,cap_hit,player_id_pergame,MPG,PPG,RPG,APG,SPG,BPG,FG_PCT,FG3_PCT,FT_PCT,FTA_per_g,FGA_per_g,avg_shot_dist,FG_PCT_rim,FG_PCT_short,FG_PCT_mid,FG_PCT_long_two,FGA_share_rim,FGA_share_short,FGA_share_mid,FGA_share_long_two,FGA_share_three,playoff_MPG,playoff_PPG,playoff_RPG,playoff_APG,playoff_SPG,playoff_BPG,playoff_FG_PCT,playoff_FG3_PCT,playoff_FT_PCT,playoff_GP,playoff_MP,playoff_BPM,draft_year,draft_pick,seasons_played,contract_type,bird_rights_status,cap_hit_override,team_override,free_agent_override,notes,experience,experience_is_estimated,is_free_agent,made_playoffs,playoff_low_sample,FTA_total,FTA_per36,FoulDraw_Value,FoulDraw_low_sample,rim_FGA_total,rim_FGA_per36,Rim_Scoring_Value,Rim_low_sample,BPM_pctile,EPM_pctile,DARKO_pctile,OBPM_pctile,DBPM_pctile,MP_pctile,GP_pctile,AGE_pctile,PPG_pctile,RPG_pctile,APG_pctile,SPG_pctile,BPG_pctile,FG_PCT_pctile,FG3_PCT_pctile,FT_PCT_pctile,OnBall_Pct_pctile,rTS_rel_pctile,RAPM_3Y_pctile,PVAL_pctile,NET_ON_OFF_pctile,FoulDraw_Value_pctile,Rim_Scoring_Value_pctile,production_pctile,n_production_metrics_available,salary_pctile,qualified_min_minutes,pos_group,BPM_pctile_pos,EPM_pctile_pos,DARKO_pctile_pos,OBPM_pctile_pos,DBPM_pctile_pos,MP_pctile_pos,GP_pctile_pos,AGE_pctile_pos,PPG_pctile_pos,RPG_pctile_pos,APG_pctile_pos,SPG_pctile_pos,BPG_pctile_pos,FG_PCT_pctile_pos,FG3_PCT_pctile_pos,FT_PCT_pctile_pos,OnBall_Pct_pctile_pos,rTS_rel_pctile_pos,RAPM_3Y_pctile_pos,PVAL_pctile_pos,NET_ON_OFF_pctile_pos,FoulDraw_Value_pctile_pos,Rim_Scoring_Value_pctile_pos,estimated_market_value,estimated_market_value_low,estimated_market_value_high,estimated_market_value_inner_low,estimated_market_value_inner_high,market_value_surplus,estimate_rel_width,estimate_confidence,market_value_verdict,pay_vs_value_ratio,pay_vs_value_pctile,value_score,value_ratio,is_rookie_scale,max_salary_for_tier,pct_of_max,is_max_contract,salary_tier,rank_in_salary_tier,n_in_salary_tier,value_score_pctile,market_value_surplus_pctile,estimated_market_value_pctile
wembavi01,Victor Wembanyama,SAS,C,22.0,64.0,1866.0,0.417,32.4,0.626,6.5,4.2,10.7,6.0,victor wembanyama,wembavi01,SAS,16868246.0,6.0,211748246.0,16868246.0,wembavi01,29.2,25.0,11.5,3.1,1.0,3.1,0.512,0.349,0.827,7.0,16.9,,0.78,0.425,0.391,0.42,0.328,0.148,0.119,0.081,0.324,34.1,23.8,10.9,2.7,1.0,3.5,0.485,0.342,0.847,22.0,750.0,8.9,2023.0,1.0,3,Rookie Scale,,,,,,3.0,False,False,True,False,448.0,8.643086816720258,85.47308781869688,False,354.7648,6.8443369774919605,92.77448071216617,False,99.47229551451188,100.0,99.72826086956522,98.68073878627968,100.0,73.08707124010554,51.05540897097626,16.62269129287599,95.77836411609498,99.0765171503958,68.99736147757255,73.21899736147758,100.0,79.41952506596306,46.20596205962059,70.58047493403694,57.824933687002655,82.36074270557029,99.46949602122017,63.395225464190986,100.0,95.18413597733712,98.21958456973294,99.76617170471492,3,73.68421052631578,True,Big,99.29577464788731,100.0,99.28571428571428,98.59154929577466,100.0,73.94366197183099,50.70422535211267,15.140845070422534,97.1830985915493,97.53521126760565,84.15492957746478,84.15492957746478,100.0,57.74647887323944,52.65151515151515,88.02816901408451,85.91549295774648,69.01408450704226,99.29577464788731,59.859154929577464,100.0,95.62043795620438,96.29629629629628,45568498.35617952,21322471.563089885,61059568.718815334,25950930.68583683,50169334.32649603,28700252.35617952,0.8720299897777237,Medium,Underpaid,0.3701734006714862,7.268170426065162,92.49800127864977,1.353969473135417,True,41240250.0,0.4090238541230958,False,Rookie Scale,1.0,95,100.0,100.0,97.25557461406518
castlst01,Stephon Castle,SAS,PG,21.0,68.0,2038.0,0.47,24.9,0.575,1.0,0.9,1.9,2.0,stephon castle,castlst01,SAS,10015920.0,2.0,10015920.0,10015920.0,castlst01,30.0,16.7,5.3,7.4,1.1,0.3,0.471,0.332,0.734,5.6,12.0,,0.68,0.425,0.382,0.412,0.31,0.262,0.109,0.021,0.299,33.0,18.2,5.0,6.1,0.9,0.3,0.459,0.35,0.816,23.0,760.0,1.8,2024.0,4.0,2,Rookie Scale,,,,,,2.0,False,False,True,False,380.7999999999999,6.726594700686947,67.94617563739376,False,252.96,4.46838076545633,55.33382789317507,False,79.02374670184696,86.73740053050398,92.11956521739133,73.61477572559367,78.7598944591029,81.00263852242745,63.19261213720316,9.630606860158313,80.21108179419525,73.87862796833772,97.75725593667546,79.94722955145119,40.89709762532981,58.04749340369393,33.06233062330624,31.398416886543533,91.3793103448276,46.41909814323608,56.76392572944297,45.225464190981434,67.50663129973475,77.33711048158641,58.45697329376854,86.82729883092247,3,58.89724310776943,True,Guard,80.0,86.98224852071006,93.20987654320987,74.70588235294117,81.47058823529412,79.41176470588235,64.70588235294117,10.294117647058822,80.58823529411765,95.88235294117648,96.17647058823528,72.6470588235294,61.47058823529412,79.11764705882352,32.64705882352941,18.235294117647054,81.95266272189349,57.100591715976336,60.05917159763313,43.786982248520715,65.38461538461539,74.02597402597402,76.2589928057554,31694187.160160657,27037505.367486134,54369778.77534512,31694187.160160657,44672696.93959344,21678267.160160657,0.862374960737767,Medium,Underpaid,0.3160175697009176,3.7593984962406015,83.06790033468187,1.474216690788854,True,41240250.0,0.2428675868841726,False,Rookie Scale,4.0,95,99.70326409495549,99.49874686716792,93.99656946826758
clingdo01,Donovan Clingan,POR,C,21.0,77.0,2094.0,0.297,16.9,0.604,2.4,0.6,3.0,2.6,donovan clingan,clingdo01,POR,7519920.0,2.0,7519920.0,7519920.0,clingdo01,27.2,12.1,11.6,2.1,0.6,1.7,0.52,0.341,0.68,2.6,8.9,,0.661,0.509,0.25,0.667,0.471,0.155,0.006,0.009,0.36,21.4,7.0,7.8,2.2,0.2,0.6,0.304,0.2,0.5,5.0,107.0,-2.7,2024.0,7.0,2,Rookie Scale,,,,,,2.0,False,False,True,True,200.2,3.4418338108882525,42.41359773371105,False,322.7763,5.549162750716333,56.00890207715133,False,90.36939313984168,90.98143236074272,78.53260869565217,89.44591029023746,71.50395778364116,83.11345646437994,88.39050131926122,9.630606860158313,60.817941952506594,99.47229551451188,48.15303430079156,28.49604221635884,98.68073878627968,83.90501319261213,40.65040650406504,16.358839050131927,23.87267904509284,69.49602122015915,64.45623342175067,88.9920424403183,45.62334217506631,36.827195467422094,59.940652818991104,86.1601136811085,3,50.37593984962406,True,Big,89.08450704225352,89.43661971830986,72.14285714285714,91.54929577464787,64.08450704225352,88.02816901408451,89.7887323943662,7.394366197183098,65.49295774647888,98.59154929577466,64.43661971830986,39.08450704225352,96.47887323943662,64.43661971830986,47.34848484848485,27.464788732394368,44.014084507042256,56.690140845070424,58.45070422535211,84.85915492957746,47.183098591549296,36.496350364963504,40.74074074074074,22688003.874929152,6819235.011383611,46873059.71258712,8299483.227694034,38513049.68195688,15168083.874929152,1.7654186292459184,Low,Leaning underpaid,0.3314491676506504,4.761904761904762,81.39820891920374,1.710342555162303,True,41240250.0,0.1823441904450142,False,Rookie Scale,5.0,95,99.406528189911,98.49624060150376,90.2229845626072
wallaca01,Cason Wallace,OKC,SG,22.0,77.0,2046.0,0.116,14.5,0.538,-2.1,3.3,1.2,1.7,cason wallace,wallaca01,OKC,7420806.0,1.0,7420806.0,7420806.0,wallaca01,26.6,8.6,3.1,2.6,1.9,0.4,0.432,0.351,0.809,0.9,7.6,,0.656,0.324,0.348,0.455,0.274,0.175,0.039,0.019,0.493,24.9,8.6,3.8,2.4,2.1,0.5,0.479,0.484,0.875,15.0,374.0,7.4,2023.0,10.0,3,Rookie Scale,,,,,,3.0,False,False,True,False,69.3,1.219354838709677,28.273371104815865,True,160.3448,2.821316129032258,34.19881305637983,False,71.50395778364116,85.6763925729443,88.31521739130434,22.427440633245386,98.81266490765172,81.53034300791556,88.39050131926122,16.62269129287599,39.31398416886543,33.90501319261214,59.76253298153035,98.94459102902374,55.67282321899736,28.36411609498681,47.5609756097561,63.19261213720316,57.02917771883289,19.49602122015915,64.45623342175067,90.84880636604774,59.15119363395226,19.54674220963173,26.112759643916917,83.12284318250353,3,49.87468671679198,True,Guard,73.52941176470588,85.20710059171599,90.12345679012346,28.823529411764703,99.11764705882354,80.58823529411765,87.6470588235294,17.352941176470587,42.35294117647059,56.1764705882353,45.294117647058826,98.52941176470588,78.52941176470588,40.588235294117645,44.41176470588235,49.11764705882353,31.65680473372781,30.473372781065088,66.27218934911244,93.19526627218934,57.692307692307686,20.77922077922078,40.28776978417266,26737686.53042295,19312652.32367717,45984404.30207059,23504840.905919097,37782889.75245336,19316880.53042295,0.9975340218027274,Medium,Underpaid,0.2775410651761655,2.0050125313283207,81.11783065117521,1.666633890945674,True,41240250.0,0.1799408587484314,False,Rookie Scale,7.0,95,99.10979228486649,99.24812030075188,92.62435677530016
jamesle01,LeBron James,LAL,SF,41.0,60.0,1989.0,0.344,27.2,0.594,3.3,0.2,3.5,2.8,lebron james,jamesle01,PHI,3876529.0,2.0,3876529.0,3876529.0,jamesle01,33.2,20.9,6.1,7.2,1.2,0.6,0.515,0.317,0.737,5.3,15.3,,0.784,0.5,0.425,0.38,0.292,0.235,0.123,0.086,0.264,38.4,23.2,6.7,7.3,1.3,0.3,0.459,0.327,0.746,10.0,384.0,3.0,2003.0,1.0,20,Veteran,,,,,,23.0,False,False,True,False,318.0,5.755656108597284,63.24362606232295,False,268.056,4.851692307692307,86.75074183976261,False,92.4802110817942,87.0026525198939,85.32608695652173,93.4036939313984,58.70712401055409,78.89182058047494,42.480211081794195,100.0,91.2928759894459,82.84960422163589,97.22955145118732,85.75197889182058,73.87862796833772,81.13456464379946,22.086720867208673,32.71767810026385,75.72944297082228,64.45623342175067,56.76392572944297,29.973474801061005,57.294429708222815,71.671388101983,94.0652818991098,87.74333007410442,3,32.08020050125313,True,Wing,92.53731343283582,87.87878787878788,89.39393939393939,91.04477611940298,64.17910447761194,74.6268656716418,39.55223880597015,100.0,86.56716417910447,89.55223880597015,98.50746268656717,84.32835820895522,81.34328358208955,89.55223880597015,18.65671641791045,28.35820895522388,87.87878787878788,69.6969696969697,65.15151515151516,25.0,57.57575757575758,66.12903225806451,98.4126984126984,9905217.149895135,4544187.201464203,56816091.90776769,5530591.833115582,46682699.69563955,6028688.149895137,5.277209365052322,Low,Underpaid,0.3913623438372615,9.022556390977442,78.72077368312698,2.735124117153724,False,57736350.0,0.0671419131967989,False,Mid-Level,7.0,161,98.81305637982196,90.22556390977444,66.20926243567753
quetane01,Neemias Queta,BOS,C,26.0,76.0,1926.0,0.351,14.7,0.674,0.9,2.0,2.8,2.4,neemias queta,quetane01,BOS,2667944.0,5.0,58667944.0,2667944.0,quetane01,25.3,10.2,8.4,1.7,0.8,1.3,0.653,0.125,0.703,2.3,6.6,,0.768,0.567,0.273,0.0,0.545,0.389,0.044,0.006,0.016,21.7,9.3,8.6,0.6,0.1,0.9,0.735,,0.789,7.0,152.0,1.2,2021.0,39.0,5,Veteran,,,,,,5.0,False,False,True,False,174.79999999999998,3.2672897196261683,45.3257790368272,False,273.372,5.1097570093457945,85.55637982195847,False,88.91820580474933,93.368700265252,80.43478260869566,71.76781002638522,95.51451187335093,76.2532981530343,85.35620052770449,55.8047493403694,50.79155672823219,93.53562005277044,37.33509234828496,52.242744063324544,94.9868073878628,97.22955145118732,2.168021680216802,21.108179419525065,19.098143236074268,95.49071618037136,94.03183023872678,94.42970822281168,93.76657824933687,41.92634560906516,93.47181008902076,87.4058575289177,3,21.17794486215539,True,Big,86.61971830985915,90.84507042253522,73.57142857142858,69.71830985915493,93.30985915492955,78.16901408450704,85.2112676056338,51.056338028169016,53.16901408450704,83.45070422535211,51.40845070422535,62.676056338028175,86.97183098591549,92.6056338028169,6.0606060606060606,35.2112676056338,36.61971830985916,88.73239436619718,93.30985915492955,92.95774647887325,92.25352112676056,43.79562043795621,85.92592592592592,6657291.669747073,3232191.65928509,45088376.39198965,3933802.02033634,37046672.24011332,3989347.669747073,6.28726917928395,Low,Underpaid,0.4007551617610531,9.774436090225564,77.63142143869214,4.127211497519309,False,41240250.0,0.0646927213098853,False,Minimum,1.0,96,98.51632047477746,79.69924812030075,48.3704974271012
reedpa01,Paul Reed,DET,C,26.0,65.0,901.0,0.324,20.6,0.65,2.4,2.9,5.3,1.6,paul reed,reedpa01,DET,5602689.0,1.0,,5602689.0,reedpa01,13.9,7.8,4.5,1.2,0.9,0.9,0.617,0.325,0.664,1.7,5.2,,0.793,0.552,0.542,0.3,0.413,0.369,0.071,0.029,0.118,9.6,7.4,4.0,0.6,0.1,0.7,0.667,0.4,0.75,9.0,86.0,9.3,2020.0,58.0,6,Veteran,,,,,,6.0,False,False,True,True,110.5,4.415094339622642,50.11898016997167,False,139.594,5.577562708102109,91.06824925816024,False,97.36147757255937,94.9602122015915,87.77173913043478,89.44591029023746,97.8891820580475,20.31662269129288,54.74934036939314,55.8047493403694,33.24538258575198,62.13720316622692,18.733509234828496,63.58839050131926,87.33509234828496,93.93139841688657,28.72628726287263,14.511873350923482,36.47214854111406,91.51193633952256,73.87267904509284,95.3580901856764,49.46949602122016,49.858356940509914,97.3293768545994,92.8648511426497,3,41.10275689223057,True,Big,97.88732394366195,92.95774647887325,85.0,91.54929577464787,97.88732394366195,21.12676056338028,54.5774647887324,51.056338028169016,37.32394366197183,35.2112676056338,29.929577464788732,74.29577464788733,71.12676056338029,83.80281690140845,33.33333333333333,25.352112676056336,58.098591549295776,80.28169014084507,67.6056338028169,94.71830985915491,50.352112676056336,54.74452554744526,94.07407407407408,11522724.687651366,5187459.783058451,45278627.21857272,6313499.298962497,37202991.02069123,5920035.687651366,3.479313141836933,Low,Leaning underpaid,0.4862295292019144,16.040100250626566,76.82475089202313,2.2593338784095875,False,41240250.0,0.1358548747885864,False,Mid-Level,3.0,161,98.21958456973294,89.47368421052632,70.84048027444254
murraco01,Collin Murray-Boyles,TOR,PF,20.0,57.0,1246.0,0.316,15.5,0.621,-0.5,1.5,1.0,1.0,collin murray boyles,murraco01,TOR,6649560.0,3.0,6649560.0,6649560.0,murraco01,21.9,8.5,5.0,1.9,0.9,0.9,0.579,0.34,0.657,1.9,6.0,,0.697,0.475,0.333,0.182,0.617,0.178,0.026,0.032,0.146,27.3,14.4,6.4,2.4,1.3,1.1,0.656,0.0,0.773,7.0,191.0,5.6,2025.0,9.0,1,Rookie Scale,,,,,,1.0,False,False,True,False,108.3,3.1290529695024074,38.730878186968845,False,211.014,6.096712680577849,68.96884272997032,False,69.78891820580475,81.16710875331566,75.54347826086956,51.187335092348285,90.50131926121372,41.42480211081794,36.80738786279684,4.749340369393139,38.12664907651715,68.60158311345647,42.87598944591029,63.58839050131926,87.33509234828496,91.2928759894459,40.10840108401084,13.324538258575195,15.384615384615383,80.90185676392572,70.55702917771883,73.87267904509284,42.04244031830239,30.02832861189802,78.93175074183976,76.21369968177063,3,47.61904761904761,True,Big,65.84507042253522,82.3943661971831,67.85714285714286,44.71830985915493,87.67605633802818,49.29577464788733,35.563380281690144,2.112676056338028,41.901408450704224,41.19718309859155,58.098591549295776,74.29577464788733,71.12676056338029,77.46478873239437,46.21212121212121,23.239436619718308,30.985915492957744,66.54929577464789,63.732394366197184,71.83098591549296,44.71830985915493,29.1970802919708,61.48148148148148,21931438.068009615,4162805.4848117144,44066714.96856278,5066423.762148299,36207228.487137705,15281878.068009617,1.8194844022543637,Low,Fairly paid,0.3031976279612693,2.756892230576441,73.4568074511942,1.6004876933171834,True,41240250.0,0.1612395657155327,False,Rookie Scale,11.0,95,97.92284866468842,98.7468671679198,89.5368782161235
garzalu01,Luka Garza,BOS,C,27.0,69.0,1118.0,0.328,17.7,0.682,2.2,0.2,2.4,1.2,luka garza,garzalu01,BOS,2801346.0,1.0,2801346.0,2801346.0,garzalu01,16.2,8.1,4.1,1.0,0.4,0.4,0.577,0.433,0.769,1.7,5.2,,0.722,0.578,0.588,0.5,0.353,0.232,0.048,0.011,0.356,8.4,4.4,1.7,0.9,0.0,0.1,0.5,0.308,0.875,7.0,59.0,3.8,2021.0,52.0,5,Veteran,,,,,,5.0,False,False,True,True,117.3,3.7771019677996422,57.8229461756374,False,126.6564,4.0783813953488375,67.07715133531157,False,84.30079155672823,77.71883289124668,78.26086956521739,87.73087071240106,58.70712401055409,32.0580474934037,67.01846965699208,65.03957783641161,34.696569920844325,56.72823218997362,13.060686015831136,8.839050131926122,55.67282321899736,91.02902374670184,95.9349593495935,43.79947229551451,14.588859416445624,97.3474801061008,62.732095490716176,94.42970822281168,17.639257294429708,62.889518413597735,76.55786350148368,79.56758631035609,3,22.932330827067663,True,Big,82.04225352112677,78.16901408450704,71.42857142857143,89.7887323943662,48.943661971830984,35.563380281690144,68.66197183098592,60.2112676056338,38.732394366197184,29.929577464788732,23.239436619718308,13.732394366197184,26.76056338028169,76.76056338028168,93.18181818181816,63.38028169014085,29.225352112676056,93.30985915492955,56.33802816901409,92.95774647887325,21.47887323943662,72.26277372262774,58.51851851851851,7476967.969950559,2937763.3777512447,44772809.46950337,3575462.326768113,36787388.02358843,4675621.969950559,5.595188619221644,Low,Underpaid,0.3746633677258515,7.769423558897243,71.79816275145885,3.4696685177958564,False,41240250.0,0.0679274737665266,False,Minimum,4.0,96,97.62611275964392,84.46115288220551,54.03087478559176
harpedy01,Dylan Harper,SAS,SG,19.0,69.0,1558.0,0.181,21.8,0.574,0.3,1.1,1.4,1.3,dylan harper,harpedy01,SAS,12989040.0,3.0,12989040.0,12989040.0,harpedy01,22.6,11.8,3.4,3.9,0.8,0.3,0.505,0.343,0.756,1.7,9.5,,0.658,0.445,0.417,0.515,0.405,0.181,0.091,0.05,0.271,26.7,14.1,5.6,2.7,1.0,0.2,0.515,0.333,0.827,23.0,615.0,3.7,2025.0,2.0,1,Rookie Scale,,,,,,1.0,False,False,True,False,117.3,2.710397946084724,35.72804532577904,False,265.4775,6.134268292682927,58.10830860534125,False,73.61477572559367,87.53315649867373,89.13043478260869,61.47757255936675,83.64116094986808,59.63060686015831,67.01846965699208,1.58311345646438,58.970976253298154,41.29287598944591,81.66226912928761,52.242744063324544,40.89709762532981,76.64907651715039,42.140921409214094,38.39050131926121,87.79840848806366,48.40848806366048,98.6737400530504,88.9920424403183,62.201591511936336,25.77903682719547,63.20474777448071,84.65254066187933,3,65.41353383458647,True,Guard,76.17647058823529,88.16568047337277,90.74074074074076,66.17647058823529,86.76470588235294,62.35294117647059,67.94117647058823,2.3529411764705883,58.235294117647065,66.17647058823529,72.35294117647058,47.647058823529406,61.47058823529412,94.11764705882352,41.17647058823529,24.11764705882353,74.55621301775149,59.171597633136095,99.40828402366864,90.8284023668639,60.35502958579882,25.97402597402597,82.01438848920863,27428345.833411746,14283995.613293365,54720406.96208759,17384615.98978242,44960789.09442002,14439305.833411746,1.47425628925594,Medium,Underpaid,0.4735626449691853,14.786967418546364,69.86557324333296,1.2941135526471206,True,41240250.0,0.31496026333497,False,Rookie Scale,6.0,95,97.3293768545994,98.24561403508773,92.96740994854204
